Airline,Source,Destination,Duration,Total stops,Price,Departure Hour,Departure Min,Arrival Hour,Arrival Min
IndiGo,BOM,CCU,2.58,0,6578,17,35,20,10
IndiGo,BOM,CCU,2.75,0,6578,6,25,9,10
IndiGo,BOM,CCU,2.92,0,6578,19,25,22,20
IndiGo,BOM,CCU,2.5,0,7183,7,50,10,20
IndiGo,BOM,CCU,2.58,0,7183,9,50,12,25
IndiGo,BOM,CCU,2.58,0,7789,12,55,15,30
Vistara,BOM,CCU,2.83,0,8418,14,5,16,55
GoFirst,BOM,CCU,2.75,0,5987,21,45,0,30
IndiGo,BOM,CCU,2.58,0,6578,22,40,1,15
IndiGo,BOM,CCU,5.25,1,6618,17,15,22,30
IndiGo,BOM,CCU,5.5,1,6618,17,10,22,40
IndiGo,BOM,CCU,5.5,1,6618,13,55,19,25
AirAsia India,BOM,CCU,5.08,1,7431,19,45,0,50
Air India,BOM,CCU,2.75,0,7658,21,5,23,50
Vistara,BOM,CCU,5.17,1,9168,17,35,22,45
IndiGo,BOM,CCU,6.08,1,6618,11,10,17,15
IndiGo,BOM,CCU,6.17,1,6618,12,20,18,30
IndiGo,BOM,CCU,6.42,1,6618,16,5,22,30
IndiGo,BOM,CCU,6.67,1,6618,15,0,21,40
AirAsia India,BOM,CCU,6.75,1,7431,13,5,19,50
GoFirst,BOM,CCU,5.67,1,9127,18,0,23,40
Vistara,BOM,CCU,5.67,1,9168,12,25,18,5
Vistara,BOM,CCU,6.17,1,9168,11,55,18,5
IndiGo,BOM,CCU,5.75,1,6618,5,20,11,5
IndiGo,BOM,CCU,7.67,1,6618,13,55,21,35
IndiGo,BOM,CCU,7.92,1,6618,15,45,23,40
IndiGo,BOM,CCU,8.08,1,6618,11,10,19,15
IndiGo,BOM,CCU,9.33,1,6618,19,55,5,15
IndiGo,BOM,CCU,10.33,1,6726,12,20,22,40
IndiGo,BOM,CCU,7.25,1,7290,6,5,13,20
IndiGo,BOM,CCU,8.25,1,7290,9,0,17,15
AirAsia India,BOM,CCU,7.33,1,7431,13,5,20,25
AirAsia India,BOM,CCU,7.92,1,7431,18,10,2,5
GoFirst,BOM,CCU,7.67,1,7623,5,50,13,30
GoFirst,BOM,CCU,7.67,1,9127,0,10,7,50
GoFirst,BOM,CCU,9.08,1,9127,14,35,23,40
Vistara,BOM,CCU,8.08,1,9168,14,40,22,45
Vistara,BOM,CCU,10.33,1,9168,12,25,22,45
AirAsia India,BOM,CCU,7.67,1,9825,7,50,15,30
Vistara,BOM,CCU,7.0,1,9932,15,45,22,45
Vistara,BOM,CCU,7.17,1,9932,12,25,19,35
Vistara,BOM,CCU,7.67,1,9932,11,55,19,35
Air India,BOM,CCU,5.25,1,10073,5,25,10,40
Air India,BOM,CCU,6.42,1,10808,16,0,22,25
Air India,BOM,CCU,7.0,1,10808,15,25,22,25
Air India,BOM,CCU,6.5,1,10838,8,0,14,30
Air India,BOM,CCU,7.0,2,10838,15,25,22,25
Air India,BOM,CCU,7.42,2,10838,7,5,14,30
Air India,BOM,CCU,7.5,1,10838,7,0,14,30
Air India,BOM,CCU,6.17,1,11778,13,0,19,10
Vistara,BOM,CCU,7.67,1,11999,10,25,18,5
IndiGo,BOM,CCU,9.42,1,6618,21,25,6,50
IndiGo,BOM,CCU,11.17,1,6726,6,5,17,15
IndiGo,BOM,CCU,11.17,1,6726,18,5,5,15
AirAsia India,BOM,CCU,11.0,1,7431,22,0,9,0
GoFirst,BOM,CCU,10.75,1,7925,21,45,8,30
GoFirst,BOM,CCU,9.33,1,9127,22,30,7,50
GoFirst,BOM,CCU,10.33,1,9127,21,30,7,50
GoFirst,BOM,CCU,10.67,1,9127,13,0,23,40
Vistara,BOM,CCU,9.58,1,9168,22,45,8,20
Vistara,BOM,CCU,10.42,1,9168,21,55,8,20
Vistara,BOM,CCU,10.58,1,9168,7,30,18,5
Vistara,BOM,CCU,10.83,1,9168,11,55,22,45
Vistara,BOM,CCU,10.83,1,9168,22,45,9,35
GoFirst,BOM,CCU,10.08,1,9293,22,30,8,35
SpiceJet,BOM,CCU,8.5,1,9382,0,35,9,5
GoFirst,BOM,CCU,10.0,1,10135,22,40,8,40
Air India,BOM,CCU,11.17,1,10838,8,0,19,10
GoFirst,BOM,CCU,10.17,1,11249,13,30,23,40
Air India,BOM,CCU,9.42,1,11778,13,0,22,25
Vistara,BOM,CCU,9.33,1,12340,8,45,18,5
Vistara,BOM,CCU,9.17,1,12361,10,25,19,35
Vistara,BOM,CCU,10.83,1,12361,8,45,19,35
Vistara,BOM,CCU,6.33,1,13345,22,45,5,5
Vistara,BOM,CCU,9.08,1,13459,22,45,7,50
SpiceJet,BOM,CCU,7.25,1,13487,0,35,7,50
IndiGo,BOM,CCU,8.83,1,13613,23,30,8,20
IndiGo,BOM,CCU,8.33,1,14032,23,30,7,50
IndiGo,BOM,CCU,7.58,1,14244,23,30,7,5
GoFirst,BOM,CCU,6.92,1,14515,0,10,7,5
